time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.35000000000000003,0.4,0.38,0.381,0.010941402365066636,0.269,0.292,0.28375,0.28400000000000003,0.00445954033505696,10.86,12.279,11.5014,11.5045,0.32949118349358003,0.422,0.427,0.4243,0.4245,0.0015524174696260038,3.463,4.105,3.7687500000000007,3.7605000000000004,0.11283300713886878,0.269,0.293,0.2831,0.28300000000000003,0.004060788100849387,14.69,16.806,15.53895,15.519000000000002,0.48097873913510975,0.8190000000000001,0.8260000000000001,0.8217000000000001,0.8220000000000001,0.002100000000000002,13.394,15.565,14.371199999999998,14.2735,0.364628523294599,0.307,0.31,0.30874999999999997,0.309,0.0008291561975888506,56,56,7168,28672,50272,False,4096,1
0.36,0.393,0.37590476190476185,0.377,0.006886181898104851,0.273,0.289,0.28105,0.281,0.0031060424980994665,10.639,12.029,11.209499999999998,11.1975,0.25178592097255964,0.422,0.428,0.42515000000000003,0.4255,0.0016815171720800251,3.451,4.0040000000000004,3.6832000000000003,3.684,0.09053706423338462,0.269,0.289,0.2807,0.281,0.003318132004607408,14.258000000000001,15.996,15.122499999999999,15.1205,0.296189213172931,0.8170000000000001,0.8250000000000001,0.8211,0.8210000000000001,0.002142428528562857,13.182,15.369,14.082650000000001,13.9835,0.4052133111090996,0.307,0.311,0.30884999999999996,0.309,0.0010136567466356653,56,56,7168,28672,50272,False,4096,1
0.374,0.387,0.38076190476190475,0.381,0.002893420482088253,0.28200000000000003,0.28800000000000003,0.28465,0.28450000000000003,0.0013518505834595785,11.368,11.897,11.535149999999998,11.5395,0.13315602690077544,0.419,0.425,0.42175,0.422,0.0014790199457749053,3.714,3.874,3.8029,3.7955,0.0350797662477959,0.28200000000000003,0.28700000000000003,0.28440000000000004,0.28400000000000003,0.0011135528725660054,14.91,16.608,15.544149999999998,15.496,0.3289450220021577,0.8130000000000001,0.8180000000000001,0.8146000000000001,0.8140000000000001,0.0014966629547095778,14.23,14.944,14.523850000000001,14.4725,0.17651749913252246,0.305,0.309,0.30655,0.306,0.0010712142642814286,56,56,7168,28672,50272,False,4064,1
0.368,0.384,0.3757142857142857,0.376,0.004095791767666133,0.276,0.28200000000000003,0.27870000000000006,0.2785,0.0017635192088548415,11.143,11.712,11.41575,11.415500000000002,0.1737325171060384,0.41600000000000004,0.423,0.41859999999999997,0.419,0.001593737745050915,3.6470000000000002,3.829,3.72065,3.7169999999999996,0.042779989481064616,0.276,0.28400000000000003,0.27815,0.278,0.0019045996954740927,14.66,15.647,15.181999999999999,15.143,0.24210514244848264,0.805,0.81,0.8081500000000001,0.809,0.001589811309558466,13.981,14.826,14.21005,14.1125,0.21523347207160873,0.303,0.307,0.30430000000000007,0.304,0.0011874342087037928,56,56,7168,28672,50272,False,4032,1
0.37,0.388,0.37780952380952376,0.378,0.0043601992922893745,0.277,0.28400000000000003,0.2799,0.2795,0.001786057109949177,11.448,12.187,11.698249999999998,11.6585,0.2103710709674692,0.41100000000000003,0.417,0.41459999999999997,0.41500000000000004,0.0017435595774162556,3.719,3.9090000000000003,3.8005000000000004,3.791,0.04311438275100323,0.276,0.28200000000000003,0.27880000000000005,0.279,0.0013266499161421613,15.040000000000001,15.944,15.445500000000001,15.414000000000001,0.21503034669553056,0.798,0.803,0.8007500000000001,0.801,0.0016393596310755017,14.125,15.045,14.517050000000001,14.451500000000001,0.22923099157836402,0.3,0.303,0.3013499999999999,0.301,0.0009096702699330133,56,56,7168,28672,50272,False,4000,1
0.366,0.373,0.36957142857142855,0.37,0.0017340134720031564,0.275,0.28,0.27710000000000007,0.277,0.0011789826122551605,10.708,11.301,10.9468,10.914,0.1289188116606727,0.40800000000000003,0.41400000000000003,0.4120000000000001,0.41200000000000003,0.001549193338482968,3.552,3.696,3.599000000000001,3.5905,0.03392786465429263,0.275,0.279,0.27635000000000004,0.276,0.0009630680142129119,14.662,17.396,14.99485,14.828500000000002,0.5785968609489687,0.792,0.801,0.79585,0.796,0.001930673457630784,14.097,14.497,14.224300000000003,14.2455,0.11451510817355044,0.296,0.299,0.29725,0.297,0.0009937303457175904,56,56,7168,28672,50272,False,3968,1
0.363,0.38,0.3704761904761905,0.37,0.004414468070410209,0.271,0.278,0.27420000000000005,0.274,0.0016911534525287778,10.787,11.258000000000001,11.050650000000001,11.072500000000002,0.13134887704125983,0.406,0.41300000000000003,0.40890000000000015,0.40800000000000003,0.0018411952639521988,3.56,3.73,3.6488500000000004,3.6475,0.03539671594936456,0.271,0.275,0.27305,0.273,0.001023474474522937,14.715,16.552,15.0922,14.999,0.38759084096505675,0.786,0.793,0.7896500000000001,0.7895000000000001,0.0019045996954740927,14.096,14.746,14.447849999999999,14.418500000000002,0.19327785051577942,0.293,0.296,0.29429999999999995,0.294,0.0007810249675906662,56,56,7168,28672,50272,False,3936,1
0.355,0.374,0.36066666666666664,0.359,0.0050174299371892805,0.268,0.278,0.2699,0.269,0.002188606862823931,9.937,10.508000000000001,10.090150000000001,10.054,0.1258857716344465,0.403,0.40900000000000003,0.40675000000000006,0.40700000000000003,0.001577181029558752,3.465,3.641,3.55905,3.5685000000000002,0.04049626525989774,0.266,0.272,0.2695,0.27,0.0015000000000000013,13.237,13.808,13.559100000000004,13.607,0.14051900227371386,0.78,0.785,0.7831,0.783,0.0011789826122551605,13.816,14.322000000000001,13.988499999999998,13.978,0.12026699464109028,0.29,0.293,0.2918,0.292,0.0008124038404635967,56,56,7168,28672,50272,False,3904,1
0.354,0.369,0.3593333333333333,0.359,0.003808928524918331,0.269,0.275,0.27030000000000004,0.27,0.0013820274961085265,10.035,10.663,10.216000000000001,10.221,0.1480472897421632,0.401,0.40700000000000003,0.40395000000000003,0.404,0.001596088969951238,3.528,3.795,3.613549999999999,3.6035000000000004,0.0631010895310057,0.268,0.275,0.27005,0.27,0.0015960889699512383,13.412,13.99,13.72005,13.753499999999999,0.15171238413524443,0.773,0.78,0.77695,0.777,0.0016575584454250791,13.969,14.416,14.156,14.2015,0.14274802975873252,0.28700000000000003,0.292,0.2894,0.289,0.0011999999999999858,56,56,7168,28672,50272,False,3872,1
0.355,0.373,0.3593333333333333,0.358,0.0037585880496516445,0.265,0.272,0.2668,0.266,0.0016613247725836165,9.801,10.581,9.96885,9.933,0.1745824375474233,0.398,0.404,0.40115,0.401,0.0016209565077447343,3.2800000000000002,3.531,3.3232999999999997,3.315,0.05397693952050265,0.265,0.272,0.2666,0.266,0.0016552945357246865,13.06,14.117,13.282599999999999,13.248000000000001,0.2304270817417085,0.771,0.777,0.7736000000000001,0.773,0.0017435595774162708,12.842,13.592,13.023900000000001,12.976,0.1992407839775784,0.289,0.293,0.2904,0.29,0.0008602325267042634,56,56,7168,28672,50272,False,3840,1
