time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.184,0.20400000000000001,0.19842857142857145,0.201,0.006758214955722789,0.165,0.177,0.17475000000000002,0.176,0.0038842631218803836,3.555,3.751,3.685,3.6855,0.04035467754796211,0.25,0.253,0.2513500000000001,0.251,0.0010136567466356656,1.181,1.298,1.26595,1.2825,0.036832696072918676,0.165,0.177,0.17429999999999998,0.176,0.003848376280978766,4.824,5.021,4.93365,4.9355,0.04993323041822956,0.46900000000000003,0.47300000000000003,0.4704499999999999,0.47000000000000003,0.0010712142642814284,4.558,5.007,4.896749999999999,4.955,0.1206573143244951,0.171,0.17300000000000001,0.17210000000000003,0.17200000000000001,0.0006244997998398404,32,32,4096,16384,50272,False,4096,1
0.185,0.20400000000000001,0.19823809523809524,0.201,0.006753515923151667,0.166,0.178,0.17460000000000003,0.176,0.0038652296180175304,3.476,3.767,3.6698,3.691,0.08249036307351301,0.25,0.256,0.25234999999999996,0.252,0.0013518505834595788,1.184,1.287,1.2649000000000001,1.2845,0.03454837188638562,0.166,0.177,0.17455,0.176,0.0033537292675467935,4.706,5.031,4.93825,4.936999999999999,0.08011483944938042,0.467,0.47400000000000003,0.4705000000000001,0.47100000000000003,0.0013228756555322965,4.5520000000000005,4.9590000000000005,4.8797500000000005,4.932,0.1277164339464581,0.171,0.17300000000000001,0.17200000000000001,0.17200000000000001,0.0006324555320336764,32,32,4096,16384,50272,False,4096,1
0.199,0.202,0.20033333333333334,0.2,0.0008908708063747488,0.176,0.178,0.17675,0.177,0.0005361902647381809,3.652,3.863,3.72445,3.723,0.045861176391366124,0.249,0.252,0.24979999999999997,0.249,0.0010295630140987008,1.281,1.309,1.28865,1.2845,0.007695940488335392,0.176,0.178,0.17670000000000002,0.177,0.0005567764362830027,4.902,5.071,4.9779,4.9645,0.04266368479163503,0.464,0.468,0.4658500000000001,0.466,0.0011521718621802922,4.9430000000000005,5.0120000000000005,4.971100000000002,4.957,0.026221937380750474,0.169,0.17200000000000001,0.17075,0.171,0.0006982120021884476,32,32,4096,16384,50272,False,4064,1
0.195,0.2,0.19776190476190475,0.198,0.0011914281907806491,0.17200000000000001,0.17400000000000002,0.17325,0.17300000000000001,0.0006982120021884477,3.619,3.763,3.6702500000000002,3.6745,0.03162574109803591,0.245,0.25,0.24775,0.248,0.0009937303457175906,1.2590000000000001,1.285,1.276,1.281,0.008706319543871513,0.17200000000000001,0.17400000000000002,0.1732,0.17300000000000001,0.0007483314773547889,4.797,5.003,4.92925,4.926,0.04884554739175321,0.461,0.466,0.4628,0.463,0.001326649916142161,4.848,4.958,4.9192,4.9265,0.03652341714571628,0.168,0.171,0.16865000000000002,0.168,0.0008529361054615998,32,32,4096,16384,50272,False,4032,1
0.199,0.20400000000000001,0.20123809523809524,0.201,0.0014443572274383915,0.17400000000000002,0.177,0.17565,0.176,0.0007262919523166863,3.664,3.835,3.7547000000000006,3.755,0.04264633630219602,0.245,0.25,0.24654999999999996,0.246,0.0014654350889752859,1.326,1.349,1.3384999999999998,1.339,0.005572252686302001,0.17400000000000002,0.177,0.17550000000000002,0.1755,0.0008062257748298437,4.897,5.081,4.9969,5.0024999999999995,0.04585291702825457,0.458,0.46,0.45895,0.459,0.0008645808232895299,6.849,8.635,7.914700000000001,8.025500000000001,0.45542991777001207,0.167,0.17,0.1684,0.168,0.0007348469228349541,32,32,4096,16384,50272,False,4000,1
0.202,0.20600000000000002,0.20366666666666672,0.203,0.0011268723396380231,0.177,0.179,0.17769999999999997,0.178,0.0006403124237432853,3.641,3.736,3.68775,3.688,0.031240798645361167,0.243,0.246,0.2448,0.245,0.0008717797887081355,1.301,1.318,1.3083,1.3065,0.005273518749374079,0.177,0.179,0.17769999999999997,0.178,0.0007141428428542856,4.9,5.07,4.986700000000001,4.99,0.04296754589221964,0.453,0.457,0.45515,0.455,0.0010136567466356656,4.876,4.946,4.9098,4.913,0.02213729884154791,0.169,0.17,0.16925,0.169,0.00043301270189221973,32,32,4096,16384,50272,False,3968,1
0.201,0.20600000000000002,0.20414285714285713,0.20400000000000001,0.001206558043744756,0.17400000000000002,0.177,0.17575000000000002,0.176,0.0006982120021884377,3.646,3.7800000000000002,3.7321000000000004,3.7350000000000003,0.034862443976290625,0.24,0.244,0.24194999999999997,0.242,0.0010712142642814284,1.306,1.326,1.3163500000000004,1.318,0.004932291556670186,0.17400000000000002,0.176,0.17575000000000002,0.176,0.0005361902647381706,4.972,5.098,5.02325,5.0175,0.034754675944396275,0.449,0.453,0.45119999999999993,0.451,0.0012083045973594582,4.878,4.962,4.9211,4.9190000000000005,0.017242099640125002,0.167,0.169,0.1673,0.167,0.0005567764362830027,32,32,4096,16384,50272,False,3936,1
0.194,0.198,0.19628571428571429,0.197,0.0012009066869446193,0.17,0.17200000000000001,0.17135000000000003,0.171,0.0005722761571129803,3.358,3.426,3.4063499999999998,3.4080000000000004,0.019024392237335746,0.24,0.244,0.24184999999999998,0.242,0.0011947803145348531,1.117,1.1360000000000001,1.1287500000000004,1.129,0.006323567031351839,0.17,0.17300000000000001,0.17160000000000003,0.17200000000000001,0.0007348469228349541,4.4350000000000005,4.542,4.51515,4.535500000000001,0.031959779411003315,0.447,0.451,0.449,0.449,0.001140175425099139,4.3180000000000005,4.372,4.34955,4.3685,0.022824274358673475,0.168,0.171,0.16925,0.169,0.0007664854858377951,32,32,4096,16384,50272,False,3904,1
0.193,0.196,0.19480952380952382,0.195,0.0008518354199999206,0.169,0.17200000000000001,0.17124999999999999,0.171,0.0007664854858377953,3.354,3.422,3.41145,3.419,0.017859101321175137,0.23700000000000002,0.242,0.23965,0.2395,0.0012359207094308168,1.111,1.1340000000000001,1.1303500000000004,1.1320000000000001,0.005720795399243051,0.17,0.17200000000000001,0.17155,0.17200000000000001,0.0006689544080129832,4.453,4.54,4.5280000000000005,4.5335,0.01979898987322324,0.442,0.447,0.44480000000000003,0.445,0.0012884098726725136,4.2780000000000005,4.37,4.3549999999999995,4.364,0.02608447814314089,0.166,0.171,0.16775,0.168,0.0010428326807307114,32,32,4096,16384,50272,False,3872,1
0.188,0.195,0.19290476190476186,0.194,0.001949475189567499,0.165,0.169,0.16785,0.168,0.0013143439428094927,3.297,3.4290000000000003,3.3918500000000003,3.3975,0.041493704341743244,0.233,0.23700000000000002,0.23405,0.234,0.001023474474522937,1.09,1.145,1.1273,1.133,0.016727522231340775,0.165,0.169,0.16815000000000002,0.1685,0.0011947803145348531,4.197,4.3950000000000005,4.332700000000001,4.3525,0.05054611755614869,0.441,0.444,0.44239999999999996,0.443,0.0009695359714832667,4.197,4.473,4.35165,4.3665,0.07574646856454753,0.164,0.167,0.1657,0.166,0.0007810249675906661,32,32,4096,16384,50272,False,3840,1
