time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.077,0.10300000000000001,0.09980952380952382,0.101,0.005188072838081849,0.052000000000000005,0.052000000000000005,0.05200000000000001,0.052000000000000005,6.938893903907228e-18,2.351,2.364,2.3565499999999995,2.358,0.0031855140872392856,0.14,0.14200000000000002,0.1411,0.14100000000000001,0.0007000000000000008,0.786,0.79,0.78765,0.788,0.0009096702699330136,0.067,0.069,0.06795000000000001,0.068,0.0005894913061275804,4.283,4.3100000000000005,4.2959000000000005,4.297499999999999,0.0069706527671373345,0.28800000000000003,0.289,0.28884999999999994,0.289,0.00035707142142712295,2.1590000000000003,2.1750000000000003,2.1624000000000003,2.161,0.0033674916480965957,0.08,0.082,0.08120000000000001,0.081,0.0006000000000000005,32,32,4096,11008,32768,True,4096,1
0.078,0.10200000000000001,0.10009523809523813,0.101,0.004984784103886376,0.052000000000000005,0.053,0.052050000000000006,0.052000000000000005,0.0002179449471770324,2.355,2.357,2.3556999999999997,2.356,0.0007141428428543276,0.139,0.14300000000000002,0.14140000000000003,0.14100000000000001,0.0010198039027185578,0.787,0.788,0.7874500000000001,0.787,0.0004974937185533104,0.067,0.069,0.06795,0.068,0.0004974937185533104,4.292,4.297,4.293750000000001,4.2935,0.0012196310917650444,0.28800000000000003,0.289,0.28869999999999996,0.289,0.000458257569495559,2.16,2.166,2.1633500000000003,2.1630000000000003,0.0012757350822172955,0.08,0.083,0.0812,0.081,0.0006782329983125273,32,32,4096,11008,32768,True,4096,1
0.076,0.10200000000000001,0.10009523809523808,0.101,0.005432746932172062,0.051000000000000004,0.051000000000000004,0.05100000000000001,0.051000000000000004,6.938893903907228e-18,2.355,2.361,2.3584,2.359,0.0017435595774162708,0.137,0.14200000000000002,0.13965000000000002,0.139,0.0012757350822173085,0.787,0.789,0.78785,0.788,0.0005722761571129803,0.068,0.069,0.06845000000000001,0.068,0.0004974937185533104,4.292,4.299,4.296850000000001,4.297,0.0020068632240390215,0.28600000000000003,0.28700000000000003,0.28625,0.28600000000000003,0.0004330127018922198,2.1590000000000003,2.1670000000000003,2.1627,2.162,0.002147091055358377,0.078,0.08,0.07925000000000001,0.079,0.0005361902647381809,32,32,4096,11008,32768,True,4064,1
0.075,0.101,0.09857142857142856,0.1,0.005323545440251429,0.05,0.051000000000000004,0.050050000000000004,0.05,0.0002179449471770339,2.357,2.361,2.35865,2.359,0.0007921489758877217,0.136,0.14,0.13815,0.138,0.0009630680142129121,0.788,0.789,0.78815,0.788,0.00035707142142714284,0.065,0.066,0.06545000000000001,0.065,0.0004974937185533104,4.297,4.299,4.29765,4.297499999999999,0.00072629195231694,0.28400000000000003,0.28500000000000003,0.28404999999999997,0.28400000000000003,0.0002179449471770339,2.154,2.1630000000000003,2.1601,2.16,0.002118962010041707,0.078,0.08,0.07855000000000001,0.078,0.0006689544080129832,32,32,4096,11008,32768,True,4032,1
0.076,0.101,0.09871428571428573,0.1,0.0051837002516850585,0.049,0.051000000000000004,0.04970000000000001,0.05,0.0005567764362830027,2.356,2.372,2.3604,2.358,0.004953786430600328,0.136,0.14,0.13740000000000002,0.137,0.0010677078252031322,0.787,0.792,0.7889999999999999,0.788,0.0017029386365926416,0.065,0.066,0.06545000000000001,0.065,0.0004974937185533104,4.295,4.319,4.3027500000000005,4.297,0.009060215229231667,0.28200000000000003,0.28300000000000003,0.28215,0.28200000000000003,0.00035707142142714284,2.156,2.172,2.1625499999999995,2.161,0.005181457323958217,0.077,0.078,0.07719999999999999,0.077,0.00040000000000000034,32,32,4096,11008,32768,True,4000,1
0.074,0.1,0.09723809523809525,0.098,0.0052726135373967285,0.048,0.049,0.04870000000000001,0.049,0.00045825756949558437,2.352,2.354,2.3529500000000003,2.353,0.0006689544080130666,0.133,0.137,0.13545,0.135,0.0009733961166965902,0.787,0.788,0.7873000000000001,0.787,0.0004582575694955844,0.06,0.061,0.06059999999999999,0.061,0.0004898979485566361,4.111,4.113,4.11165,4.112,0.0006538348415313194,0.277,0.278,0.27780000000000016,0.278,0.00040000000000000034,2.158,2.165,2.16165,2.162,0.0018781639970992818,0.077,0.079,0.07780000000000001,0.078,0.0006000000000000006,32,32,4096,11008,32768,True,3968,1
0.073,0.1,0.0962857142857143,0.097,0.005310751512983176,0.048,0.048,0.04800000000000001,0.048,6.938893903907228e-18,2.352,2.355,2.35325,2.353,0.0009937303457176196,0.132,0.136,0.1345,0.1345,0.0010723805294763618,0.786,0.787,0.7869000000000002,0.787,0.0003000000000000003,0.061,0.062,0.061450000000000005,0.061,0.0004974937185533104,4.108,4.11,4.109050000000001,4.109,0.0007399324293476841,0.275,0.275,0.2750000000000001,0.275,5.551115123125783e-17,2.1550000000000002,2.1630000000000003,2.1596500000000005,2.16,0.001904599695474102,0.076,0.077,0.07669999999999999,0.077,0.0004582575694955844,32,32,4096,11008,32768,True,3936,1
0.07200000000000001,0.098,0.09561904761904762,0.097,0.005340556333390124,0.047,0.048,0.04740000000000001,0.047,0.0004898979485566361,2.351,2.354,2.3526999999999996,2.353,0.0007810249675907671,0.131,0.135,0.133,0.133,0.0010000000000000009,0.786,0.788,0.7871500000000002,0.787,0.00047696960070847335,0.06,0.061,0.06015,0.06,0.00035707142142714284,4.111,4.112,4.11135,4.111,0.0004769696007086322,0.272,0.273,0.27235,0.272,0.0004769696007084733,2.156,2.161,2.1585500000000004,2.158,0.0012031209415516496,0.075,0.076,0.07535,0.075,0.0004769696007084732,32,32,4096,11008,32768,True,3904,1
0.07200000000000001,0.098,0.09514285714285713,0.096,0.0052670197074474135,0.047,0.047,0.04700000000000001,0.047,6.938893903907228e-18,2.351,2.354,2.3519999999999994,2.352,0.0009486832980505732,0.13,0.133,0.13180000000000003,0.132,0.0009797958971132722,0.787,0.788,0.7870500000000001,0.787,0.00021794494717703388,0.057,0.058,0.05775,0.058,0.00043301270189221973,4.107,4.11,4.1084000000000005,4.108,0.0006633249580712077,0.27,0.271,0.27085,0.271,0.0003570714214271428,2.152,2.157,2.1544,2.1550000000000002,0.0014966629547096136,0.073,0.075,0.07400000000000001,0.074,0.0003162277660168382,32,32,4096,11008,32768,True,3872,1
0.07100000000000001,0.094,0.09233333333333334,0.093,0.004804098779101556,0.046,0.047,0.04615000000000001,0.046,0.0003570714214271428,2.355,2.358,2.35625,2.356,0.0010428326807307875,0.127,0.13,0.12840000000000001,0.128,0.0009695359714832667,0.788,0.79,0.7889999999999999,0.789,0.0003162277660168382,0.057,0.058,0.05750000000000001,0.0575,0.0005000000000000004,4.105,4.109,4.1072,4.107,0.0010295630140985865,0.27,0.271,0.2700499999999999,0.27,0.00021794494717703385,2.141,2.146,2.1438000000000006,2.144,0.001469693845669896,0.075,0.076,0.0758,0.076,0.00040000000000000034,32,32,4096,11008,32768,True,3840,1
0.07100000000000001,0.096,0.09309523809523809,0.094,0.00499432784842929,0.046,0.046,0.046000000000000006,0.046,6.938893903907228e-18,2.354,2.358,2.3556999999999997,2.356,0.0009539392014169545,0.126,0.129,0.12750000000000003,0.1275,0.0006708203932499374,0.788,0.79,0.7889999999999999,0.789,0.0003162277660168382,0.055,0.056,0.05585,0.056,0.0003570714214271428,4.105,4.109,4.10725,4.107,0.0010428326807305904,0.268,0.268,0.26799999999999996,0.268,5.551115123125783e-17,2.142,2.146,2.1434500000000005,2.1430000000000002,0.001160818676624373,0.074,0.075,0.0746,0.075,0.0004898979485566361,32,32,4096,11008,32768,True,3808,1
0.07,0.093,0.09152380952380954,0.093,0.004846393333673113,0.045,0.046,0.045200000000000004,0.045,0.00040000000000000034,2.345,2.35,2.34755,2.3475,0.0011608186766243922,0.125,0.127,0.12619999999999998,0.126,0.0007483314773547889,0.786,0.788,0.7870000000000001,0.787,0.0003162277660168382,0.054,0.055,0.054900000000000004,0.055,0.0003000000000000003,4.093,4.097,4.0946,4.094,0.0012000000000000233,0.265,0.266,0.26509999999999995,0.265,0.0003000000000000003,2.129,2.136,2.1318500000000005,2.132,0.0020316249653910255,0.074,0.075,0.07405000000000002,0.074,0.00021794494717703385,32,32,4096,11008,32768,True,3776,1
