time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.506,0.979,0.822809523809524,0.847,0.11294145936116809,0.42,0.716,0.6317999999999999,0.6365000000000001,0.05571678382677882,8.929,17.615000000000002,14.7643,14.852,1.5259626502637609,0.632,0.811,0.7694500000000001,0.773,0.03398157589047336,3.029,6.585,5.027749999999999,5.052,0.601077854774238,0.42,0.742,0.6054499999999999,0.608,0.05411975147762599,17.896,34.145,26.659100000000002,26.4905,2.6825624112031394,1.326,1.694,1.59695,1.5995,0.06890244915821207,11.209,15.527000000000001,14.015350000000002,13.9435,0.8394763412389895,0.385,0.387,0.38635,0.386,0.0005722761571129803,32,32,4096,11008,32768,True,4096,1
0.561,0.9570000000000001,0.793142857142857,0.8160000000000001,0.0902637857637722,0.454,0.704,0.61455,0.623,0.04772260994539171,9.295,18.007,14.2641,14.319,1.4307054868141102,0.627,0.839,0.7582,0.759,0.03665323996592934,2.911,5.828,4.746650000000001,4.782500000000001,0.5189617784577204,0.41000000000000003,0.671,0.5821500000000001,0.5865,0.046025291959964784,15.799,28.664,25.1778,25.4145,2.4033692933047144,1.441,1.734,1.578,1.582,0.05468180684651888,10.915000000000001,16.269000000000002,13.56645,13.489,0.909836275106681,0.385,0.388,0.38655000000000006,0.387,0.0007399324293474378,32,32,4096,11008,32768,True,4096,1
0.776,0.9510000000000001,0.843190476190476,0.844,0.04173113380133196,0.602,0.675,0.6348999999999999,0.639,0.019196093352554854,13.498000000000001,15.905000000000001,14.946500000000004,14.8065,0.6449292596866731,0.726,0.797,0.7691,0.77,0.015930787802240054,4.291,5.401,4.9661,4.9665,0.25295116129403317,0.54,0.643,0.6023000000000001,0.602,0.022729056293651965,25.077,29.567,26.94925,26.7985,1.101268944218441,1.552,1.701,1.61125,1.605,0.03329245409999091,13.432,15.887,14.22375,14.1625,0.5511567721619685,0.381,0.383,0.38234999999999997,0.3825,0.0007262919523166983,32,32,4096,11008,32768,True,4064,1
0.74,0.883,0.8018095238095239,0.79,0.04133097425789255,0.5750000000000001,0.658,0.61055,0.608,0.023737049100509527,13.789,16.158,14.4583,14.3495,0.5593467707960781,0.736,0.78,0.7521500000000001,0.748,0.011064696109699542,4.494,5.244,4.76375,4.7145,0.18445104364031117,0.555,0.62,0.57915,0.5745,0.016331794145163576,23.957,28.301000000000002,25.6812,25.547,1.0096233753236898,1.518,1.651,1.5627999999999997,1.5575,0.033314561380873665,12.797,14.889000000000001,13.6645,13.573,0.5948649846813983,0.375,0.377,0.37629999999999997,0.376,0.0006403124237432854,32,32,4096,11008,32768,True,4032,1
0.765,0.937,0.8277142857142857,0.8280000000000001,0.044794921966821256,0.591,0.684,0.6245499999999999,0.623,0.02474363554532763,14.259,16.44,15.013150000000001,14.857500000000002,0.5745734309033094,0.735,0.778,0.7540500000000001,0.754,0.011706728834307229,4.561,5.352,4.915349999999999,4.9215,0.19437162215714515,0.557,0.624,0.5872499999999998,0.588,0.016771627827971838,25.081,30.82,26.8521,26.497500000000002,1.2013589763263937,1.528,1.693,1.5752000000000002,1.5699999999999998,0.038936615158485476,13.307,15.737,14.264550000000003,14.1685,0.6556463585653473,0.375,0.377,0.37649999999999995,0.377,0.0006708203932499374,32,32,4096,11008,32768,True,4000,1
0.737,0.906,0.8032380952380952,0.807,0.04758641739174537,0.5740000000000001,0.67,0.6121,0.608,0.026220030511042523,13.685,16.244,14.394650000000002,14.347,0.6221867304113773,0.725,0.77,0.7435,0.7424999999999999,0.010121758740456137,4.567,5.354,4.84845,4.7995,0.17614808400888154,0.554,0.621,0.57825,0.5740000000000001,0.015384651442265411,23.891000000000002,27.886,25.376200000000004,25.066499999999998,0.9647916666306773,1.506,1.639,1.5491500000000002,1.5430000000000001,0.03305340375816081,13.252,15.36,13.94505,13.912,0.626535352155008,0.366,0.371,0.3676,0.367,0.0014282856857085711,32,32,4096,11008,32768,True,3968,1
0.755,0.961,0.8224285714285715,0.8200000000000001,0.04383580991943134,0.583,0.7000000000000001,0.6184000000000001,0.619,0.026775735284021634,13.872,16.374,14.687000000000001,14.679,0.6170345209143486,0.6980000000000001,0.789,0.7416499999999999,0.7404999999999999,0.015547588237408398,4.288,5.578,4.92705,4.9245,0.22451892459211548,0.526,0.635,0.5822499999999999,0.583,0.01898387473620703,23.486,29.257,26.154149999999998,26.0185,1.1509934958547767,1.496,1.667,1.55885,1.5485,0.037102931151055986,13.662,16.401,14.37235,14.227,0.712465807951511,0.366,0.368,0.3673,0.367,0.0006403124237432853,32,32,4096,11008,32768,True,3936,1
0.722,0.889,0.7926190476190476,0.796,0.047763780051491504,0.5650000000000001,0.659,0.6046499999999999,0.606,0.026571177994210188,13.674,15.962,14.431849999999997,14.4395,0.5813908560512455,0.717,0.761,0.7318499999999999,0.73,0.010165013526798683,4.638,5.353,4.8576,4.8545,0.1588050377034683,0.549,0.609,0.56755,0.5700000000000001,0.013362166740465389,23.835,28.814,25.389350000000004,25.143,1.1095414942668884,1.47,1.611,1.5177,1.5195,0.034626723783806046,13.045,15.261000000000001,13.927050000000003,13.784,0.6435647189677197,0.36,0.362,0.3602,0.36,0.0006000000000000005,32,32,4096,11008,32768,True,3904,1
0.754,0.906,0.8105238095238095,0.8150000000000001,0.04094435137228397,0.5730000000000001,0.664,0.6073,0.604,0.022063771209836287,13.41,17.007,14.675750000000003,14.645,0.6775741195618384,0.686,0.767,0.7317499999999999,0.7324999999999999,0.014261398949612194,4.283,5.57,4.963699999999999,4.966,0.22799124983209332,0.516,0.623,0.576,0.5735000000000001,0.021438283513378564,24.406,29.259,26.34975,26.0595,1.1056957029400087,1.493,1.6620000000000001,1.5374,1.534,0.0369707992880868,13.375,16.297,14.3028,14.2125,0.645540827523713,0.359,0.361,0.3597,0.36,0.0006403124237432854,32,32,4096,11008,32768,True,3872,1
0.721,0.88,0.7841904761904762,0.787,0.03807338659010923,0.559,0.645,0.5884499999999998,0.5845,0.022837414477125013,13.045,15.450000000000001,13.753400000000003,13.7345,0.627300597799811,0.72,0.758,0.73125,0.73,0.008601598688615979,4.436,5.0520000000000005,4.6171999999999995,4.5920000000000005,0.14403110775106895,0.547,0.608,0.5701,0.5675000000000001,0.013732807433296345,23.449,28.531000000000002,25.3594,25.020000000000003,1.1814430752262255,1.493,1.607,1.5175500000000004,1.5095,0.026958254765470223,12.573,14.4,13.083450000000003,12.9315,0.5037678508003464,0.36,0.363,0.36190000000000005,0.362,0.0009949874371066208,32,32,4096,11008,32768,True,3840,1
