,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.023,0.082,0.05166666666666667,0.05,0.024115462996914565,0,2,2048,all_reduce,2,2
1,0.013000000000000001,0.083,0.058,0.078,0.03188521078284832,0,2,10240,all_reduce,2,2
2,0.015,0.077,0.036,0.016,0.028994252303976845,0,2,18432,all_reduce,2,2
3,0.017,0.08,0.057999999999999996,0.077,0.029017236257093813,0,2,26624,all_reduce,2,2
4,0.021,0.077,0.05366666666666667,0.063,0.023795424396766327,0,2,34816,all_reduce,2,2
5,0.031,0.075,0.049999999999999996,0.044,0.018457157599876168,0,2,43008,all_reduce,2,2
6,0.033,0.093,0.06766666666666667,0.077,0.02536839678725393,0,2,51200,all_reduce,2,2
7,0.069,0.079,0.07500000000000001,0.077,0.004320493798938571,0,2,59392,all_reduce,2,2
8,0.038,0.081,0.052333333333333336,0.038,0.020270394394014363,0,2,67584,all_reduce,2,2
9,0.038,0.125,0.06733333333333334,0.039,0.04077853465843138,0,2,75776,all_reduce,2,2
10,0.063,0.078,0.06866666666666667,0.065,0.006649979114420001,0,2,83968,all_reduce,2,2
11,0.041,0.081,0.062333333333333345,0.065,0.016438437341250604,0,2,92160,all_reduce,2,2
12,0.04,0.088,0.056,0.04,0.022627416997969517,0,2,100352,all_reduce,2,2
13,0.041,0.085,0.06833333333333334,0.079,0.01948218559493661,0,2,108544,all_reduce,2,2
14,0.042,0.079,0.057333333333333326,0.051000000000000004,0.0157550697307953,0,2,116736,all_reduce,2,2
15,0.077,0.089,0.08233333333333333,0.081,0.004988876515698587,0,2,124928,all_reduce,2,2
16,0.045,0.096,0.07766666666666666,0.092,0.023156472577277876,0,2,133120,all_reduce,2,2
17,0.048,0.082,0.05933333333333333,0.048,0.01602775370689508,0,2,141312,all_reduce,2,2
18,0.048,0.048,0.04800000000000001,0.048,6.938893903907228e-18,0,2,149504,all_reduce,2,2
